id,casualties,people_rescued,est_people_displaced
ci1694486,0,0,0
ci1694487,0,0,3
ci1694488,0,0,0
ci1694489,0,0,0
ci1694490,0,0,0
ci1694491,0,0,0
ci1694492,0,0,0
ci1694493,0,0,0
ci1694494,0,0,0
ci1694495,0,0,0
ci1694496,0,0,0
ci1694497,0,0,0
ci1694498,0,0,0
ci1694499,0,0,0
ci1694500,0,0,0
ci1694501,0,0,0
ci1694502,0,0,0
ci1694503,0,0,0
ci1694504,0,0,0
ci1694505,0,0,2
ci1694506,0,0,5
ci1694507,0,0,0
ci1694508,0,0,0
ci1694509,0,0,0
ci1694510,0,0,4
ci1694511,0,0,0
ci1694512,0,0,0
ci1694513,0,0,0
ci1694514,0,0,0
ci1694515,0,0,0
ci1694516,0,0,0
ci1694517,0,0,997
ci1694518,0,0,1
ci1694519,0,0,0
ci1694520,0,0,0
ci1694521,0,0,0
ci1694522,0,0,0
ci1694523,0,0,0
ci1694524,0,0,0
ci1694525,0,0,1
ci1694526,0,0,10
ci1694527,0,0,0
ci1694528,0,0,0
ci1694529,0,0,6
ci1694530,0,0,0
ci1694531,0,0,0
ci1694532,0,0,0
ci1694533,0,0,0
ci1694534,0,0,0
ci1694535,0,0,0
ci1694536,0,0,0
ci1694537,0,0,0
ci1694538,0,0,11
ci1694539,0,0,0
ci1694540,0,0,1
ci1694541,1,0,0
ci1694542,1,1,0
ci1694543,0,0,0
ci1694544,0,0,0
ci1694545,0,0,0
ci1694546,0,0,0
ci1694547,1,0,3
ci1694548,0,0,50
ci1694549,0,0,3
ci1694550,0,0,0
ci1694551,0,0,0
ci1694552,1,0,0
ci1694553,0,0,0
ci1694554,0,0,0
ci1694555,0,0,0
ci1694556,0,0,0
ci1694557,0,0,0
ci1694558,0,0,0
ci1694559,0,0,0
ci1694560,0,0,0
ci1694561,1,0,4
ci1694562,0,0,0
ci1694563,0,0,0
ci1694564,0,0,6
ci1694565,0,0,0
ci1694566,0,0,0
ci1694567,0,0,0
ci1694568,0,0,0
ci1694569,0,0,0
ci1694570,0,0,0
ci1694571,0,0,0
ci1694572,0,0,0
ci1694573,0,0,5
ci1694574,0,0,0
ci1694575,0,0,0
ci1694576,0,0,0
ci1694577,0,0,0
ci1694578,0,0,0
ci1694579,0,0,997
ci1694580,0,0,0
ci1694581,0,0,1
ci1694582,0,0,0
ci1694583,0,0,0
ci1694584,0,0,0
ci1694585,0,0,0
ci1694586,0,0,0
ci1694587,0,0,0
ci1694588,0,0,0
ci1694589,0,0,0
ci1694590,0,0,0
ci1694591,0,0,0
ci1694592,0,0,0
ci1694593,0,0,0
ci1694594,0,0,0
ci1694595,0,0,0
ci1694596,0,0,0
ci1694597,0,0,0
ci1694598,0,0,0
ci1694599,0,0,0
ci1694600,0,0,0
ci1694601,0,0,0
ci1694602,0,0,0
ci1694603,0,0,0
ci1694604,0,0,0
ci1694605,0,0,0
ci1694606,0,0,0
ci1694607,0,0,0
ci1694608,0,0,0
ci1694609,0,0,0
ci1694610,0,0,0
ci1694611,0,0,0
ci1694612,0,0,0
ci1694613,0,0,0
ci1694614,0,0,0
ci1694615,0,0,0
ci1694616,0,0,0
ci1694617,0,0,0
ci1694618,0,0,0
ci1694619,0,0,0
ci1694620,0,0,0
ci1694621,0,0,0
ci1694622,0,0,0
ci1694623,0,0,0
ci1694624,0,0,0
ci1694625,0,0,0
ci1694626,0,0,0
ci1694627,0,0,0
ci1694628,0,0,8
ci1694629,1,0,2
ci1694630,0,0,4
ci1694631,0,0,0
ci1694632,0,0,0
ci1694633,0,0,0
ci1694634,0,0,0
ci1694635,0,0,0
ci1694636,0,0,0
ci1694637,0,0,0
ci1694638,0,0,0
ci1694639,0,0,0
ci1694640,1,0,4
ci1694641,0,0,0
ci1694642,0,0,0
ci1694643,0,0,0
ci1694644,0,0,4
ci1694645,0,0,0
ci1694646,0,0,0
ci1694647,0,0,0
ci1694648,0,0,0
ci1694649,0,0,1
ci1694650,1,0,6
ci1694651,0,0,0
ci1694652,0,0,2
ci1694653,0,0,5
ci1694654,0,0,0
ci1694655,0,0,2
ci1694656,0,0,0
ci1694657,0,0,20
ci1694658,0,0,0
ci1694659,0,0,0
ci1694660,0,0,2
ci1694661,0,0,0
ci1694662,0,0,0
ci1694663,0,0,0
ci1694664,0,0,0
ci1694665,0,0,0
ci1694666,1,0,4
ci1694667,0,0,0
ci1694668,0,0,0
ci1694669,0,0,0
ci1694670,0,0,0
ci1694671,0,0,0
ci1694672,0,0,0
ci1694673,0,0,0
ci1694674,0,0,0
ci1694675,0,0,0
ci1694676,0,0,0
ci1694677,0,0,0
ci1694678,0,0,0
ci1694679,0,0,7
ci1694680,0,0,0
ci1694681,0,0,0
ci1694682,0,0,0
ci1694683,0,0,0
ci1694684,0,0,0
ci1694685,0,0,0
ci1694686,0,0,0
ci1694687,0,0,0
ci1694688,0,0,0
ci1694689,0,0,1
ci1694690,0,0,0
ci1694691,0,0,0
ci1694692,0,0,0
ci1694693,0,0,12
ci1694694,0,0,3
ci1694695,0,0,0
ci1694696,0,0,0
ci1694697,0,0,0
ci1694698,0,0,0
ci1694699,0,0,0
ci1694700,0,0,0
ci1694701,0,0,0
ci1694702,0,0,0
ci1694703,0,0,0
ci1694704,0,0,0
ci1694705,0,0,0
ci1694706,0,0,0
ci1694707,0,0,0
ci1694708,0,0,0
ci1694709,0,0,0
ci1694710,0,0,0
ci1694711,0,0,0
ci1694712,0,0,0
ci1694713,0,0,0
ci1694714,0,0,1
ci1694715,0,0,0
ci1694716,1,0,0
ci1694717,0,0,0
ci1694718,0,0,0
ci1694719,0,0,2
ci1694720,1,0,0
ci1694721,0,0,0
ci1694722,0,0,40
ci1694723,0,0,0
ci1694724,0,0,0
ci1694725,0,0,0
ci1694726,0,0,0
ci1694727,0,0,0
ci1694728,0,0,0
ci1694729,0,0,6
ci1694730,0,0,3
ci1694731,0,0,0
ci1694732,0,0,0
ci1694733,0,0,0
ci1694734,0,0,0
ci1694735,0,0,0
ci1694736,0,0,0
ci1694737,0,0,0
ci1694738,0,0,0
ci1694739,0,0,0
ci1694740,0,0,0
ci1694741,0,0,0
ci1694742,0,0,0
ci1694743,0,0,0
ci1694744,0,0,0
ci1694745,0,0,0
ci1694746,0,0,0
ci1694747,0,0,0
ci1694748,0,0,0
ci1694749,0,0,0
ci1694750,2,0,5
ci1694751,0,0,0
ci1694752,0,0,0
ci1694753,0,0,0
ci1694754,0,0,0
ci1694755,0,0,0
ci1694756,0,0,997
ci1694757,0,0,0
ci1694758,0,0,0
ci1694759,0,0,0
ci1694760,0,0,0
ci1694761,0,0,0
ci1694762,0,0,0
ci1694763,0,0,0
ci1694764,0,0,0
ci1694765,0,0,0
ci1694766,0,0,0
ci1694767,0,0,0
ci1694768,0,0,0
ci1694769,0,0,0
ci1694770,0,0,0
ci1694771,0,0,0
ci1694772,0,0,1
ci1694773,0,0,0
ci1694774,0,0,0
ci1694775,0,0,0
ci1694776,0,0,0
ci1694777,0,0,0
ci1694778,0,0,5
ci1694779,0,0,0
ci1694780,0,0,0
ci1694781,0,0,0
ci1694782,0,0,997
ci1694783,0,0,6
ci1694784,0,0,0
ci1694785,0,0,0
ci1694786,0,0,0
ci1694787,0,0,997
ci1694788,0,0,0
ci1694789,0,0,0
ci1694790,0,0,0
ci1694791,0,0,0
ci1694792,0,0,30
ci1694793,0,0,10
ci1694794,0,0,2
ci1694795,0,0,0
ci1694796,0,0,0
ci1694797,0,0,0
ci1694798,0,0,0
ci1694799,0,0,4
ci1694800,0,0,0
ci1694801,0,0,0
ci1694802,1,0,2
ci1694803,0,0,0
ci1694804,0,0,0
ci1694805,0,0,0
ci1694806,0,0,3
ci1694807,0,0,0
ci1694808,0,0,0
ci1694809,0,0,0
ci1694810,0,0,0
ci1694811,0,0,0
ci1694812,0,0,3
ci1694813,0,0,0
ci1694814,0,0,0
ci1694815,0,0,0
ci1694816,0,0,0
ci1694817,0,0,0
ci1694818,0,0,0
ci1694819,0,0,7
ci1694820,0,0,15
ci1694821,0,0,0
ci1694822,0,0,0
ci1694823,0,0,0
ci1694824,0,0,0
ci1694825,0,0,0
ci1694826,0,0,0
ci1694827,0,0,0
ci1694828,0,0,400
ci1694829,0,0,0
ci1694830,0,0,0
ci1694831,0,0,0
ci1694832,0,0,0
ci1694833,0,0,0
ci1694834,0,0,8
ci1694835,0,0,0
ci1694836,0,0,0
ci1694837,0,0,0
ci1694838,0,0,0
ci1694839,0,0,0
ci1694840,0,0,0
ci1694841,0,0,0
ci1694842,0,0,0
ci1694843,0,0,0
ci1694844,0,0,0
ci1694845,0,0,0
ci1694846,0,0,0
ci1694847,0,0,0
ci1694848,0,0,0
ci1694849,0,0,0
ci1694850,0,0,0
ci1694851,0,0,0
ci1694852,0,0,0
ci1694853,0,0,0
ci1694854,0,0,0
ci1694855,0,0,0
ci1694856,0,0,0
ci1694857,0,0,0
ci1694858,1,1,4
ci1694859,0,0,0
ci1694860,0,0,0
ci1694861,0,0,0
ci1694862,0,0,0
ci1694863,1,0,2
ci1694864,0,0,0
ci1694865,0,0,0
ci1694866,0,0,0
ci1694867,0,0,0
ci1694868,0,0,0
ci1694869,0,0,0
ci1694870,0,0,0
ci1694871,0,0,0
ci1694872,0,0,0
ci1694873,0,0,0
ci1694874,0,0,0
ci1694875,0,0,0
ci1694876,0,0,0
ci1694877,0,0,110
ci1694878,0,0,0
ci1694879,0,0,0
ci1694880,0,0,0
ci1694881,0,0,0
ci1694882,0,0,0
ci1694883,0,0,2
ci1694884,0,0,0
ci1694885,0,0,0
ci1694886,0,0,100
ci1694887,0,0,0
ci1694888,0,0,0
ci1694889,0,0,0
ci1694890,0,0,0
ci1694891,0,0,0
ci1694892,0,0,0
ci1694893,1,1,1
ci1694894,0,0,0
ci1694895,0,0,0
ci1694896,0,0,0
ci1694897,0,0,0
ci1694898,0,0,0
ci1694899,0,0,0
ci1694900,0,0,0
ci1694901,0,0,0
ci1694902,0,0,0
ci1694903,0,0,0
ci1694904,0,0,0
ci1694905,0,0,0
ci1694906,0,0,0
ci1694907,0,0,0
ci1694908,0,0,0
ci1694909,0,0,3
ci1694910,0,0,0
ci1694911,0,0,0
ci1694912,0,0,0
ci1694913,0,0,0
ci1694914,0,0,0
ci1694915,0,0,0
ci1694916,0,0,0
ci1694917,0,0,0
ci1694918,0,0,0
ci1694919,0,0,0
ci1694920,0,0,0
ci1694921,0,0,0
ci1694922,0,0,0
ci1694923,0,0,0
ci1694924,0,0,0
ci1694925,0,0,0
ci1694926,0,0,0
ci1694927,0,0,0
ci1694928,0,0,0
ci1694929,0,0,0
ci1694930,0,7,4
ci1694931,0,0,0
ci1694932,0,0,0
ci1694933,0,0,0
ci1694934,0,0,0
ci1694935,0,0,0
ci1694936,0,0,0
ci1694937,0,0,2
ci1694938,0,0,0
ci1694939,0,0,0
ci1694940,0,0,0
ci1694941,0,0,0
ci1694942,0,0,0
ci1694943,0,0,0
ci1694944,0,0,0
ci1694945,0,0,0
ci1694946,0,0,0
ci1694947,0,0,0
ci1694948,0,0,0
ci1694949,0,0,0
ci1694950,0,0,0
ci1694951,0,0,0
ci1694952,0,0,0
ci1694953,0,0,0
ci1694954,0,0,0
ci1694955,0,0,1
ci1694956,0,0,0
ci1694957,0,0,0
ci1694958,0,0,0
ci1694959,0,0,0
ci1694960,0,0,0
ci1694961,0,0,0
ci1694962,0,0,0
ci1694963,0,0,0
ci1694964,0,0,0
ci1694965,0,0,0
ci1694966,0,0,0
ci1694967,0,0,0
ci1694968,0,0,0
ci1694969,0,0,0
ci1694970,0,0,0
ci1694971,0,0,0
ci1694972,0,0,0
ci1694973,0,0,0
ci1694974,0,0,0
ci1694975,0,0,0
ci1694976,0,0,0
ci1694977,0,0,0
ci1694978,0,0,0
ci1694979,0,0,2
ci1694980,0,0,0
ci1694981,0,0,0
ci1694982,0,0,0
ci1694983,0,0,0
ci1694984,0,0,0
ci1694985,0,0,0
ci1694986,0,0,0
ci1694987,0,0,0
ci1694988,0,0,0
ci1694989,0,0,0
ci1694990,0,0,0
ci1694991,0,0,0
ci1694992,0,0,0
ci1694993,0,0,0
ci1694994,0,0,0
ci1694995,0,0,0
ci1694996,0,0,0
ci1694997,0,0,0
ci1694998,0,0,0
ci1694999,0,0,0
ci1695000,0,0,0
ci1695001,0,0,0
ci1695002,0,0,0
ci1695003,0,0,0
ci1695004,0,0,0
ci1695005,0,0,0
ci1695006,0,0,0
ci1695007,0,0,0
ci1695008,1,0,0
ci1695009,3,0,1
ci1695010,0,0,0
ci1695011,0,0,0
ci1695012,0,0,7
ci1695013,1,0,3
ci1695014,0,0,0
ci1695015,0,0,25
ci1695016,0,0,6
ci1695017,0,0,0
ci1695018,0,0,0
ci1695019,0,0,0
ci1695020,0,0,0
ci1695021,0,0,0
ci1695022,0,0,0
ci1695023,0,0,0
ci1695024,0,0,0
ci1695025,0,0,0
ci1695026,0,0,0
ci1695027,0,0,0
ci1695028,0,0,0
ci1695029,0,0,0
ci1695030,0,0,0
ci1695031,0,0,0
ci1695032,0,0,0
ci1695033,0,0,0
ci1695034,0,0,0
ci1695035,0,0,0
ci1695036,0,0,0
ci1695037,0,0,0
ci1695038,0,0,0
ci1695039,0,0,0
ci1695040,0,0,0
ci1695041,0,0,0
ci1695042,0,0,0
ci1695043,0,0,0
ci1695044,0,0,0
ci1695045,0,0,0
ci1695046,0,0,0
ci1695047,0,0,0
ci1695048,0,0,0
ci1695049,0,0,0
ci1695050,0,0,0
ci1695051,0,0,0
ci1695052,0,0,0
ci1695053,0,0,0
ci1695054,0,0,0
ci1695055,0,0,0
ci1695056,0,0,0
ci1695057,0,0,0
ci1695058,0,0,0
ci1695059,0,0,0
ci1695060,0,0,0
ci1695061,0,0,0
ci1695062,0,0,0
ci1695063,0,0,3
ci1695064,0,0,0
ci1695065,0,0,0
ci1695066,0,0,0
ci1695067,0,0,0
ci1695068,0,0,0
ci1695069,0,0,0
ci1695070,0,0,0
ci1695071,0,0,0
ci1695072,0,0,0
ci1695073,0,0,0
ci1695074,0,0,0
ci1695075,0,0,0
ci1695076,0,0,0
ci1695077,0,0,0
ci1695078,0,0,0
ci1695079,0,0,0
ci1695080,0,0,0
ci1695081,0,0,0
ci1695082,0,0,0
ci1695083,0,0,0
ci1695084,0,0,0
ci1695085,0,0,0
ci1695086,0,0,0
ci1695087,0,0,0
ci1695088,0,0,0
ci1695089,0,0,4
ci1695090,0,0,0
ci1695091,0,0,0
ci1695092,0,0,0
ci1695093,0,0,0
ci1695094,0,0,0
ci1695095,0,0,0
ci1695096,1,0,2
ci1695097,0,0,0
ci1695098,0,0,0
ci1695099,0,0,0
ci1695100,0,0,0
