id,Date,Fire Details,TFS,Location,Civilian Impact,Sprinkler Systems,Smoke Alarms,Fire Alarms,Damages
1695735,2019-02-17,fr1695735,F19018907,loc1695735,ci1695735,sp1695735,sa1695735,fa1695735,d1695735
1695736,2019-02-21,fr1695736,F19020166,loc1695736,ci1695736,sp1695736,sa1695736,fa1695736,d1695736
1695737,2019-02-22,fr1695737,F19020282,loc1695737,ci1695737,sp1695737,sa1695737,fa1695737,d1695737
1695738,2019-02-22,fr1695738,F19020480,loc1695738,ci1695738,sp1695738,sa1695738,fa1695738,d1695738
1695739,2019-02-22,fr1695739,F19020515,loc1695739,ci1695739,sp1695739,sa1695739,fa1695739,d1695739
1695740,2019-02-22,fr1695740,F19020536,loc1695740,ci1695740,sp1695740,sa1695740,fa1695740,d1695740
1695741,2019-02-22,fr1695741,F19020551,loc1695741,ci1695741,sp1695741,sa1695741,fa1695741,d1695741
1695742,2019-02-22,fr1695742,F19020588,loc1695742,ci1695742,sp1695742,sa1695742,fa1695742,d1695742
1695743,2019-02-23,fr1695743,F19020594,loc1695743,ci1695743,sp1695743,sa1695743,fa1695743,d1695743
1695744,2019-02-23,fr1695744,F19020714,loc1695744,ci1695744,sp1695744,sa1695744,fa1695744,d1695744
1695745,2019-02-27,fr1695745,F19022043,loc1695745,ci1695745,sp1695745,sa1695745,fa1695745,d1695745
1695746,2019-02-27,fr1695746,F19022049,loc1695746,ci1695746,sp1695746,sa1695746,fa1695746,d1695746
1695747,2019-02-27,fr1695747,F19022065,loc1695747,ci1695747,sp1695747,sa1695747,fa1695747,d1695747
1695748,2019-02-27,fr1695748,F19022116,loc1695748,ci1695748,sp1695748,sa1695748,fa1695748,d1695748
1695749,2019-02-27,fr1695749,F19022201,loc1695749,ci1695749,sp1695749,sa1695749,fa1695749,d1695749
1695750,2019-02-27,fr1695750,F19022269,loc1695750,ci1695750,sp1695750,sa1695750,fa1695750,d1695750
1695751,2019-02-27,fr1695751,F19022303,loc1695751,ci1695751,sp1695751,sa1695751,fa1695751,d1695751
1695752,2019-02-28,fr1695752,F19022548,loc1695752,ci1695752,sp1695752,sa1695752,fa1695752,d1695752
1695753,2019-03-04,fr1695753,F19024142,loc1695753,ci1695753,sp1695753,sa1695753,fa1695753,d1695753
1695754,2019-03-04,fr1695754,F19024238,loc1695754,ci1695754,sp1695754,sa1695754,fa1695754,d1695754
1695755,2019-03-05,fr1695755,F19024302,loc1695755,ci1695755,sp1695755,sa1695755,fa1695755,d1695755
1695756,2019-03-05,fr1695756,F19024431,loc1695756,ci1695756,sp1695756,sa1695756,fa1695756,d1695756
1695757,2019-03-06,fr1695757,F19024661,loc1695757,ci1695757,sp1695757,sa1695757,fa1695757,d1695757
1695758,2019-03-05,fr1695758,F19024498,loc1695758,ci1695758,sp1695758,sa1695758,fa1695758,d1695758
1695759,2019-03-05,fr1695759,F19024551,loc1695759,ci1695759,sp1695759,sa1695759,fa1695759,d1695759
1695760,2019-03-05,fr1695760,F19024557,loc1695760,ci1695760,sp1695760,sa1695760,fa1695760,d1695760
1695761,2019-03-06,fr1695761,F19024571,loc1695761,ci1695761,sp1695761,sa1695761,fa1695761,d1695761
1695762,2019-03-06,fr1695762,F19024610,loc1695762,ci1695762,sp1695762,sa1695762,fa1695762,d1695762
1695763,2019-03-08,fr1695763,F19025597,loc1695763,ci1695763,sp1695763,sa1695763,fa1695763,d1695763
1695764,2019-03-08,fr1695764,F19025610,loc1695764,ci1695764,sp1695764,sa1695764,fa1695764,d1695764
1695765,2019-03-08,fr1695765,F19025615,loc1695765,ci1695765,sp1695765,sa1695765,fa1695765,d1695765
1695766,2019-03-08,fr1695766,F19025636,loc1695766,ci1695766,sp1695766,sa1695766,fa1695766,d1695766
1695767,2019-03-09,fr1695767,F19025663,loc1695767,ci1695767,sp1695767,sa1695767,fa1695767,d1695767
1695768,2019-03-09,fr1695768,F19025664,loc1695768,ci1695768,sp1695768,sa1695768,fa1695768,d1695768
1695769,2019-03-09,fr1695769,F19025684,loc1695769,ci1695769,sp1695769,sa1695769,fa1695769,d1695769
1695770,2019-03-09,fr1695770,F19025691,loc1695770,ci1695770,sp1695770,sa1695770,fa1695770,d1695770
1695771,2019-03-09,fr1695771,F19025717,loc1695771,ci1695771,sp1695771,sa1695771,fa1695771,d1695771
1695772,2019-03-09,fr1695772,F19025803,loc1695772,ci1695772,sp1695772,sa1695772,fa1695772,d1695772
1695773,2019-03-09,fr1695773,F19025879,loc1695773,ci1695773,sp1695773,sa1695773,fa1695773,d1695773
1695774,2019-03-12,fr1695774,F19026742,loc1695774,ci1695774,sp1695774,sa1695774,fa1695774,d1695774
1695775,2019-03-12,fr1695775,F19026796,loc1695775,ci1695775,sp1695775,sa1695775,fa1695775,d1695775
1695776,2019-03-12,fr1695776,F19027028,loc1695776,ci1695776,sp1695776,sa1695776,fa1695776,d1695776
1695777,2019-03-13,fr1695777,F19027286,loc1695777,ci1695777,sp1695777,sa1695777,fa1695777,d1695777
1695778,2019-03-12,fr1695778,F19026929,loc1695778,ci1695778,sp1695778,sa1695778,fa1695778,d1695778
1695779,2019-03-12,fr1695779,F19026968,loc1695779,ci1695779,sp1695779,sa1695779,fa1695779,d1695779
1695780,2019-03-13,fr1695780,F19027043,loc1695780,ci1695780,sp1695780,sa1695780,fa1695780,d1695780
1695781,2019-03-13,fr1695781,F19027125,loc1695781,ci1695781,sp1695781,sa1695781,fa1695781,d1695781
1695782,2019-03-13,fr1695782,F19027167,loc1695782,ci1695782,sp1695782,sa1695782,fa1695782,d1695782
1695783,2019-03-13,fr1695783,F19027172,loc1695783,ci1695783,sp1695783,sa1695783,fa1695783,d1695783
1695784,2019-03-17,fr1695784,F19028665,loc1695784,ci1695784,sp1695784,sa1695784,fa1695784,d1695784
1695785,2019-03-17,fr1695785,F19028713,loc1695785,ci1695785,sp1695785,sa1695785,fa1695785,d1695785
1695786,2019-03-17,fr1695786,F19028734,loc1695786,ci1695786,sp1695786,sa1695786,fa1695786,d1695786
1695787,2019-03-17,fr1695787,F19028754,loc1695787,ci1695787,sp1695787,sa1695787,fa1695787,d1695787
1695788,2019-03-17,fr1695788,F19028780,loc1695788,ci1695788,sp1695788,sa1695788,fa1695788,d1695788
1695789,2019-03-17,fr1695789,F19028782,loc1695789,ci1695789,sp1695789,sa1695789,fa1695789,d1695789
1695790,2019-03-18,fr1695790,F19028793,loc1695790,ci1695790,sp1695790,sa1695790,fa1695790,d1695790
1695791,2019-03-18,fr1695791,F19028915,loc1695791,ci1695791,sp1695791,sa1695791,fa1695791,d1695791
1695792,2019-03-18,fr1695792,F19029044,loc1695792,ci1695792,sp1695792,sa1695792,fa1695792,d1695792
1695793,2019-03-18,fr1695793,F19029093,loc1695793,ci1695793,sp1695793,sa1695793,fa1695793,d1695793
1695794,2019-03-19,fr1695794,F19029110,loc1695794,ci1695794,sp1695794,sa1695794,fa1695794,d1695794
