id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1698137,75,001,,9,1,71,46,47,9,2
fr1698138,,,,,3,,,,,
fr1698139,44,001,,1,1,999,46,45,5,2
fr1698140,,,,,3,,,,,
fr1698141,79,,,,1,76,47,1,,7
fr1698142,99,,,,1,85,47,12,,7
fr1698143,,,,,3,,,,,
fr1698144,64,002,,1,1,71,22,60,2,1
fr1698145,,,,,3,,,,,
fr1698146,79,001,,2,1,41,55,28,2,3
fr1698147,81,,,,1,999,99,52,,4
fr1698148,59,B01,,1,1,20,43,52,2,3
fr1698149,58,001,,1,1,12,74,98,3,1
fr1698150,22,001,,2,1,999,99,990,8,2
fr1698151,83,,,,1,81,47,52,,7
fr1698152,83,001,,2,1,81,47,52,4,7
fr1698153,86,998,,1,1,999,47,99,99,4
fr1698154,,,,,3,,,,,
fr1698155,22,009,,2,1,55,56,44,2,1
fr1698156,,,,,3,,,,,
fr1698157,22,002,,2,1,73,14,47,3,3
fr1698158,,,,,3,,,,,
fr1698159,83,B01,,1,1,23,43,52,4,1
fr1698160,24,001,,2,1,11,74,44,7,3
fr1698161,27,003,,1,1,43,58,99,2,1
fr1698162,99,,,,1,999,99,52,,7
fr1698163,81,,,,1,999,99,99,,1
fr1698164,27,B01,,2,1,999,99,52,7,2
fr1698165,24,B01,,1,1,12,58,46,2,1
fr1698166,13,004,,1,1,75,41,3,7,2
fr1698167,24,003,,2,1,999,39,99,4,3
fr1698168,81,,,,1,82,47,20,,3
fr1698169,44,,,,1,999,99,99,,4
fr1698170,25,B01,,4,1,999,99,99,8,2
fr1698171,24,015,,2,1,11,19,44,5,2
fr1698172,,,,,3,,,,,
fr1698173,42,001,,2,1,999,99,52,8,4
fr1698174,97,B01,,1,1,49,43,52,2,2
fr1698175,81,001,,2,1,81,43,52,8,3
fr1698176,25,002,,2,1,77,87,1,4,1
fr1698177,81,,,,1,81,71,12,,4
fr1698178,,,,,3,,,,,
fr1698179,24,028,,2,1,11,56,60,3,3
fr1698180,,,,,3,,,,,
fr1698181,24,002,,2,1,11,39,60,4,1
fr1698182,,,,,3,,,,,
fr1698183,72,997,,4,1,14,55,44,7,3
fr1698184,24,002,,2,1,11,74,44,4,1
fr1698185,,,,,3,,,,,
fr1698186,24,001,,2,1,11,74,44,7,4
fr1698187,99,001,,99,1,999,99,1,99,5
fr1698188,30,001,,2,1,47,29,52,2,2
fr1698189,,,,,3,,,,,
fr1698190,,,,,3,,,,,
fr1698191,42,997,,10,1,999,99,99,8,5
fr1698192,24,002,,2,1,11,74,44,7,1
fr1698193,24,B01,,2,1,11,74,60,4,1
fr1698194,24,B01,,7,1,11,23,60,7,3
fr1698195,24,007,,3,1,11,97,44,4,2
fr1698196,22,002,,1,1,75,56,11,4,1
fr1698197,24,004,,1,1,11,74,60,4,1
fr1698198,86,,,,1,81,54,52,,7
fr1698199,,,,,3,,,,,
fr1698200,79,,,,1,999,99,1,,4
fr1698201,44,999,,1,1,999,41,99,4,2
fr1698202,13,B01,,2,1,999,56,60,3,2
fr1698203,72,,,,1,999,99,1,,4
fr1698204,97,,,,1,999,46,1,,4
fr1698205,,,,,3,,,,,
fr1698206,23,001,,2,1,9990,990,52,7,3
fr1698207,,,,,3,,,,,
fr1698208,,,,,3,,,,,
fr1698209,24,001,,1,1,11,58,60,4,2
fr1698210,,,,,3,,,,,
fr1698211,28,001,,1,1,999,39,99,4,1
fr1698212,53,001,,2,1,17,19,20,2,4
fr1698213,,,,,3,,,,,
fr1698214,,,,,3,,,,,
fr1698215,64,002,,9,1,71,13,45,2,4
fr1698216,,,,,3,,,,,
fr1698217,82,,,,1,82,81,51,,4
fr1698218,,,,,3,,,,,
fr1698219,,,,,3,,,,,
fr1698220,,,,,3,,,,,
fr1698221,,,,,3,,,,,
fr1698222,24,013,,1,1,999,41,1,2,1
fr1698223,,,,,3,,,,,
fr1698224,,,,,3,,,,,
fr1698225,44,001,,1,1,999,46,45,4,4
fr1698226,75,001,,1,1,999,46,99,2,3
fr1698227,27,B01,,1,1,43,57,99,3,2
fr1698228,81,,,,1,81,47,51,,7
fr1698229,44,001,,1,1,999,46,45,5,3
fr1698230,24,002,,2,1,11,74,50,6,1
fr1698231,81,,,,1,81,47,99,,4
fr1698232,81,,,,1,999,99,99,,7
fr1698233,13,002,,1,1,72,14,60,10,2
fr1698234,,,,,3,,,,,
fr1698235,,,,,3,,,,,
fr1698236,,,,,3,,,,,
fr1698237,,,,,3,,,,,
fr1698238,,,,,3,,,,,
fr1698239,19,B01,,1,1,43,19,20,6,1
fr1698240,,,,,3,,,,,
fr1698241,,,,,3,,,,,
fr1698242,81,B01,,1,1,999,47,99,2,2
fr1698243,,,,,3,,,,,
fr1698244,64,018,,2,1,71,22,44,3,4
fr1698245,,,,,3,,,,,
fr1698246,11,001,,1,1,999,56,1,7,2
fr1698247,24,002,,3,1,11,74,44,8,4
fr1698248,50,B01,,3,1,34,99,52,8,3
fr1698249,24,001,,1,1,13,55,52,2,1
fr1698250,,,,,3,,,,,
fr1698251,,,,,3,,,,,
fr1698252,89,,,,1,98,46,60,,4
fr1698253,44,001,,1,1,999,46,98,7,3
fr1698254,24,001,,4,1,11,74,44,4,1
fr1698255,81,,,,1,82,47,20,,5
fr1698256,64,001,1,11,1,84,16,51,8,5
fr1698257,86,,,,1,9990,47,1,,3
fr1698258,42,001,,2,1,28,43,52,3,3
fr1698259,64,006,,2,1,999,21,99,4,2
fr1698260,99,998,,7,1,999,99,99,8,3
fr1698261,81,,,,1,999,47,99,,7
fr1698262,,,,,3,,,,,
fr1698263,44,001,,1,1,71,46,45,5,3
fr1698264,,,,,3,,,,,
fr1698265,42,001,,2,1,55,33,44,3,1
fr1698266,42,001,,2,1,999,14,1,3,7
fr1698267,24,001,,2,1,11,99,99,2,1
fr1698268,24,004,,3,1,11,74,44,7,3
fr1698269,86,,,,1,999,99,99,,4
fr1698270,79,001,,99,1,999,99,46,8,4
fr1698271,99,998,,7,1,999,99,99,8,4
fr1698272,22,002,,3,1,79,46,45,4,4
fr1698273,27,004,,2,1,43,33,60,3,2
fr1698274,,,,,3,,,,,
fr1698275,42,B02,,1,1,999,46,99,7,2
fr1698276,89,,,,1,999,99,99,,7
fr1698277,81,,,,1,82,47,51,,7
fr1698278,,,,,3,,,,,
fr1698279,81,,,,1,82,16,20,,1
fr1698280,44,B01,,1,1,999,46,45,8,2
fr1698281,97,001,,2,1,999,56,52,6,4
fr1698282,99,,,,1,999,99,99,,3
fr1698283,72,,,,1,77,55,1,,1
fr1698284,21,002,,1,1,11,41,46,99,1
fr1698285,,,,,3,,,,,
fr1698286,,,,,3,,,,,
fr1698287,62,996,,1,1,79,11,50,2,1
fr1698288,81,,,,1,81,47,12,,4
fr1698289,99,001,,4,1,999,99,99,8,4
fr1698290,24,001,,2,1,14,15,20,9,3
fr1698291,24,001,,2,1,12,74,20,8,3
fr1698292,44,001,,1,1,71,46,45,7,3
fr1698293,,,,,3,,,,,
fr1698294,,,,,3,,,,,
fr1698295,21,001,,1,1,55,29,98,7,4
fr1698296,86,,,,1,999,99,99,,7
fr1698297,85,,,,1,98,990,1,,7
fr1698298,50,B01,,2,1,83,43,52,7,1
fr1698299,44,B01,,2,1,98,46,3,2,2
fr1698300,24,001,,1,1,11,56,46,7,2
fr1698301,24,001,,4,1,71,57,45,8,3
fr1698302,21,005,,1,1,76,41,1,2,2
fr1698303,79,,,,1,77,56,1,,7
fr1698304,,,,,3,,,,,
fr1698305,81,,,,1,82,99,98,,4
fr1698306,22,002,,4,1,71,46,45,7,3
fr1698307,24,002,,2,1,11,54,44,3,1
fr1698308,21,031,,2,1,37,21,50,2,4
fr1698309,,,,,3,,,,,
fr1698310,97,B01,,1,1,30,51,28,2,2
fr1698311,24,004,,1,1,11,54,60,3,1
fr1698312,,,,,3,,,,,
fr1698313,81,001,,1,1,82,47,99,2,4
fr1698314,64,015,,1,1,999,22,98,2,1
fr1698315,24,005,,1,1,11,46,60,7,2
fr1698316,42,,,,1,999,99,99,,2
fr1698317,81,,,,1,82,47,51,,7
fr1698318,,,,,3,,,,,
fr1698319,39,001,,1,1,999,97,99,2,1
fr1698320,81,,,,1,999,47,99,,7
fr1698321,82,,,,1,82,99,51,,7
fr1698322,74,,,,1,71,96,45,,4
fr1698323,12,007,,1,1,999,46,45,2,1
fr1698324,27,B01,,2,1,73,19,47,4,3
fr1698325,,,,,3,,,,,
fr1698326,45,003,,1,1,52,19,52,2,2
fr1698327,24,002,,2,1,11,74,44,7,2
fr1698328,44,B01,,1,1,84,56,51,4,1
fr1698329,24,001,,1,1,12,97,98,4,2
fr1698330,44,B01,,1,1,999,46,99,7,2
fr1698331,19,B01,,99,1,30,43,20,2,2
fr1698332,87,,,,1,81,16,52,,2
fr1698333,22,001,,2,1,98,12,20,3,2
fr1698334,69,003,,2,1,24,54,20,4,4
fr1698335,,,,,3,,,,,
fr1698336,66,997,,7,1,24,55,52,8,2
fr1698337,50,B01,,4,1,26,55,52,8,3
fr1698338,24,001,,1,1,11,56,1,7,2
fr1698339,24,001,,2,1,14,14,28,2,1
fr1698340,22,001,,4,1,34,35,46,4,4
fr1698341,44,001,,1,1,999,46,99,7,2
fr1698342,81,,,,1,999,99,99,,4
fr1698343,22,002,,2,1,83,29,52,4,3
fr1698344,71,,,,1,999,99,44,,2
fr1698345,99,998,1,8,1,77,71,1,8,7
fr1698346,24,001,,2,1,11,74,44,4,1
fr1698347,,,,,3,,,,,
fr1698348,,,,,3,,,,,
fr1698349,30,001,,7,1,999,79,50,7,4
fr1698350,,,,,3,,,,,
fr1698351,,,,,3,,,,,
fr1698352,24,006,,2,1,11,74,44,5,1
fr1698353,,,,,3,,,,,
fr1698354,,,,,3,,,,,
fr1698355,50,B01,,7,1,73,15,47,7,3
fr1698356,25,002,,10,1,73,56,47,10,3
fr1698357,24,001,,2,1,11,23,44,8,2
fr1698358,81,,,,1,82,47,51,,7
fr1698359,,,,,3,,,,,
fr1698360,50,B01,,2,1,999,99,99,7,3
fr1698361,,,,,3,,,,,
fr1698362,89,,,,1,999,99,98,,3
fr1698363,21,003,,2,1,29,43,52,4,2
fr1698364,24,003,,2,1,999,99,99,5,2
fr1698365,39,001,,2,1,77,71,1,7,4
fr1698366,21,003,,1,1,71,33,99,3,3
fr1698367,24,002,,1,1,12,99,52,7,3
fr1698368,81,,,,1,999,34,99,,4
fr1698369,,,,,3,,,,,
fr1698370,24,003,,1,1,11,54,46,4,1
fr1698371,41,B04,,1,1,30,14,60,2,1
fr1698372,81,,,,1,999,99,51,,7
fr1698373,,,,,3,,,,,
fr1698374,21,007,,2,1,55,99,44,4,2
fr1698375,,,,,3,,,,,
fr1698376,53,002,,2,1,40,99,28,9,9
fr1698377,,,,,3,,,,,
fr1698378,,,,,3,,,,,
fr1698379,81,,,,1,82,71,60,,1
fr1698380,58,001,,1,1,38,44,51,8,3
fr1698381,12,B01,,1,1,30,16,20,3,2
fr1698382,12,001,,7,1,51,13,44,8,3
fr1698383,,,,,3,,,,,
fr1698384,,,,,3,,,,,
fr1698385,,,,,3,,,,,
fr1698386,21,B02,,2,1,999,99,99,7,3
fr1698387,,,,,3,,,,,
fr1698388,,,,,3,,,,,
fr1698389,45,001,,2,1,96,42,98,4,4
fr1698390,,,,,3,,,,,
fr1698391,81,,,,1,81,47,51,,3
fr1698392,49,001,,2,1,14,48,49,4,1
fr1698393,81,,,,1,82,97,60,,4
fr1698394,,,,,3,,,,,
fr1698395,86,,,,1,999,99,99,,4
fr1698396,81,,,,1,81,43,52,,7
fr1698397,21,001,,1,1,43,58,51,7,1
fr1698398,,,,,3,,,,,
fr1698399,81,,,,1,999,47,99,,7
fr1698400,,,,,3,,,,,
fr1698401,81,,,,1,999,99,99,,3
fr1698402,11,001,,1,1,55,29,44,2,4
fr1698403,13,,,,1,999,56,45,,3
fr1698404,75,,,,1,91,46,4,,4
fr1698405,85,,,,1,81,43,52,,7
fr1698406,11,020,,1,1,76,56,50,4,9
fr1698407,81,,,,1,999,99,99,,5
fr1698408,66,B01,,7,1,999,15,98,8,2
fr1698409,81,,,,1,82,43,51,,4
fr1698410,27,018,,1,1,43,58,28,2,1
fr1698411,24,002,,2,1,19,23,44,4,2
fr1698412,,,,,3,,,,,
fr1698413,60,,,,1,999,54,1,,3
fr1698414,81,,,,1,999,99,20,,4
fr1698415,,,,,3,,,,,
fr1698416,87,,,,2,34,61,47,,1
fr1698417,81,,,,1,999,99,99,,3
fr1698418,11,001,,1,1,76,46,3,7,1
fr1698419,21,B01,,2,1,36,15,99,7,2
fr1698420,97,,,,1,34,29,20,,4
fr1698421,24,001,,2,1,11,23,98,2,1
fr1698422,24,006,,2,1,11,79,44,2,1
fr1698423,,,,,3,,,,,
fr1698424,41,001,,1,1,32,43,20,2,2
fr1698425,24,012,,2,1,11,48,60,4,2
fr1698426,81,,,,1,999,99,99,,4
fr1698427,71,,,,1,71,55,45,,4
fr1698428,,,,,3,,,,,
fr1698429,22,012,,2,1,28,43,52,4,2
fr1698430,24,001,,2,1,19,23,52,4,1
fr1698431,81,,,,1,81,47,51,,3
fr1698432,24,002,,1,1,47,97,52,3,2
fr1698433,25,B01,,1,1,98,46,45,4,1
fr1698434,44,001,,2,1,71,46,45,7,2
fr1698435,53,001,,1,1,36,55,20,7,3
fr1698436,64,003,,4,1,999,99,99,4,3
fr1698437,21,002,,1,1,71,46,45,4,1
fr1698438,85,,,,1,999,99,98,,4
fr1698439,,,,,3,,,,,
fr1698440,99,001,,1,1,71,99,47,99,4
fr1698441,81,,,,1,82,99,51,,7
fr1698442,89,,,,1,82,46,98,,1
fr1698443,55,996,,1,1,73,19,60,2,2
fr1698444,,,,,3,,,,,
fr1698445,,,,,3,,,,,
fr1698446,,,,,3,,,,,
fr1698447,,,,,3,,,,,
fr1698448,11,,,,1,999,99,47,,1
fr1698449,13,011,,2,1,98,56,3,7,2
fr1698450,83,002,,1,1,30,43,52,2,2
fr1698451,21,018,,3,1,33,31,46,4,4
fr1698452,22,002,,1,1,73,31,47,2,1
fr1698453,21,002,,2,1,55,99,44,2,1
fr1698454,81,001,,1,1,81,47,99,4,2
fr1698455,,,,,3,,,,,
fr1698456,,,,,3,,,,,
fr1698457,24,001,,2,1,11,74,44,5,1
fr1698458,,,,,3,,,,,
fr1698459,28,001,,2,1,33,99,46,6,2
fr1698460,,,,,3,,,,,
fr1698461,,,,,3,,,,,
fr1698462,22,003,,1,1,75,34,50,4,1
fr1698463,69,996,,4,1,30,14,52,4,5
fr1698464,66,B01,,6,1,999,14,52,6,2
fr1698465,81,,,,1,81,97,99,,7
fr1698466,24,003,,4,1,11,74,47,7,2
fr1698467,81,,,,1,999,47,99,,3
fr1698468,86,,,,1,999,47,99,,7
fr1698469,99,,,,1,999,99,99,,7
fr1698470,81,,,,1,999,99,99,,4
fr1698471,24,003,,1,1,11,56,47,2,1
fr1698472,21,010,,2,1,999,56,1,3,9
fr1698473,84,001,,1,1,22,62,99,9,9
fr1698474,24,021,,2,1,11,14,44,4,1
fr1698475,,,,,3,,,,,
fr1698476,21,002,,1,1,83,19,52,2,1
fr1698477,27,006,,1,1,43,54,98,5,2
fr1698478,62,996,,1,1,31,43,52,7,2
fr1698479,,,,,3,,,,,
fr1698480,22,002,,2,1,71,36,45,7,2
fr1698481,13,B01,,1,1,77,79,1,7,1
fr1698482,28,B01,,3,1,23,43,52,7,4
fr1698483,53,B01,,1,1,36,44,28,2,3
fr1698484,87,,,,1,999,99,99,,7
fr1698485,27,B01,,1,1,43,39,20,4,2
fr1698486,68,B01,,1,1,37,55,20,7,2
fr1698487,89,,,,1,999,47,99,,7
fr1698488,,,,,3,,,,,
fr1698489,,,,,3,,,,,
fr1698490,,,,,3,,,,,
fr1698491,24,001,,2,1,11,74,44,4,1
fr1698492,21,001,,2,1,35,46,46,7,2
fr1698493,99,,,,1,999,99,99,,7
fr1698494,12,021,,1,1,71,36,45,2,1
fr1698495,22,002,,3,1,49,54,52,4,3
fr1698496,44,005,,2,1,77,56,3,2,1
fr1698497,97,001,,2,1,84,19,51,4,4
fr1698498,,,,,3,,,,,
fr1698499,24,008,,2,1,11,97,44,3,2
fr1698500,,,,,3,,,,,
fr1698501,99,,,,1,999,99,99,,3
fr1698502,53,001,,99,1,36,44,28,4,2
fr1698503,75,001,,1,1,9990,56,99,2,3
fr1698504,22,002,,2,1,28,32,52,2,1
fr1698505,24,998,,1,1,30,43,52,4,1
fr1698506,24,003,,2,1,11,74,990,5,1
fr1698507,81,,,,1,85,43,99,,7
fr1698508,81,,,,1,999,47,99,,3
fr1698509,,,,,3,,,,,
fr1698510,81,,,,1,82,47,51,,4
fr1698511,,,,,3,,,,,
fr1698512,,,,,3,,,,,
fr1698513,,,,,3,,,,,
fr1698514,44,B01,,1,1,28,23,52,3,1
fr1698515,13,011,,1,1,93,41,1,7,1
fr1698516,82,,,,1,82,47,51,,4
fr1698517,,,,,3,,,,,
fr1698518,47,001,,1,1,71,12,45,7,3
fr1698519,46,002,,1,1,96,55,49,2,1
fr1698520,81,,,,1,82,99,51,,7
fr1698521,,,,,3,,,,,
fr1698522,,,,,3,,,,,
fr1698523,24,003,,1,1,11,74,44,3,1
fr1698524,,,,,3,,,,,
fr1698525,97,,,,1,9990,990,1,,3
fr1698526,24,001,,2,1,11,97,60,2,1
fr1698527,81,,,,1,999,99,98,,7
fr1698528,24,011,,1,1,83,97,47,2,1
fr1698529,,,,,3,,,,,
fr1698530,,,,,3,,,,,
fr1698531,44,001,,2,1,999,46,45,2,9
fr1698532,99,,4,,1,999,99,99,,7
fr1698533,24,009,,3,1,11,99,98,7,2
fr1698534,,,,,3,,,,,
fr1698535,75,,,,1,999,46,3,,4
fr1698536,13,011,,1,1,77,46,3,2,1
fr1698537,79,999,,2,1,999,46,99,99,3
fr1698538,27,B01,,1,1,24,14,52,2,3
fr1698539,81,001,,1,1,999,99,98,99,4
fr1698540,89,,,,1,82,47,51,,3
fr1698541,,,,,3,,,,,
fr1698542,25,001,,2,1,71,56,46,4,1
fr1698543,,,,,3,,,,,
fr1698544,41,009,,2,1,55,14,44,4,2
fr1698545,,,,,3,,,,,
fr1698546,81,,,,1,85,99,12,,7
fr1698547,21,002,,1,1,55,79,44,3,2
fr1698548,,,,,3,,,,,
fr1698549,24,023,,1,1,12,54,49,2,1
fr1698550,,,,,3,,,,,
fr1698551,81,,,,1,85,47,12,,3
fr1698552,84,,,,1,85,47,12,,7
fr1698553,21,003,,2,1,33,16,20,3,2
fr1698554,,,,,3,,,,,
fr1698555,83,,,,1,81,47,52,,3
fr1698556,,,,,3,,,,,
fr1698557,97,001,,2,1,36,13,60,3,2
fr1698558,24,008,,1,1,12,74,60,4,1
fr1698559,,,,,3,,,,,
fr1698560,22,010,,2,1,71,57,45,4,2
fr1698561,86,,,,1,999,57,99,,3
fr1698562,,,,,3,,,,,
fr1698563,75,B01,,1,1,75,46,45,9,4
fr1698564,81,,,,1,81,43,52,,7
fr1698565,27,B01,,2,1,43,39,48,7,2
fr1698566,,,,,3,,,,,
fr1698567,83,,,,1,81,47,99,,3
fr1698568,99,,,,1,999,47,99,,7
fr1698569,,,,,3,,,,,
fr1698570,,,,,3,,,,,
fr1698571,,,,,3,,,,,
fr1698572,81,,,,1,82,47,51,,4
fr1698573,87,,,,1,999,46,45,,3
fr1698574,,,,,3,,,,,
fr1698575,,,,,3,,,,,
fr1698576,21,002,,3,1,999,99,99,6,5
fr1698577,,,,,3,,,,,
fr1698578,,,,,3,,,,,
fr1698579,24,B01,,7,1,999,99,99,7,3
fr1698580,53,996,,1,1,80,16,20,2,3
fr1698581,83,,,,1,999,43,99,,2
fr1698582,21,B01,,1,1,51,33,46,4,2
fr1698583,12,B01,,2,1,77,48,1,2,2
fr1698584,81,,,,1,999,47,52,,7
fr1698585,22,001,,2,1,28,43,52,7,2
fr1698586,21,004,,1,1,71,21,47,4,3
fr1698587,24,001,,2,1,11,14,44,8,3
fr1698588,32,001,,2,1,77,56,47,8,2
fr1698589,,,,,3,,,,,
fr1698590,22,002,,2,1,55,29,44,4,2
fr1698591,99,,,,1,999,99,1,,7
fr1698592,,,,,3,,,,,
fr1698593,44,002,,2,1,999,46,45,4,2
fr1698594,19,,,,1,999,19,1,,7
fr1698595,64,003,,2,1,79,48,47,4,2
fr1698596,24,B02,,1,1,11,74,44,2,2
fr1698597,81,,,,1,81,99,99,,3
fr1698598,75,,,,1,71,46,98,,3
fr1698599,81,B01,,1,1,999,47,99,7,3
fr1698600,21,001,,2,1,37,14,20,4,2
fr1698601,86,B01,,1,1,999,47,1,3,2
fr1698602,25,001,,1,1,999,46,50,2,1
fr1698603,86,,,,1,81,43,52,,7
fr1698604,,,,,3,,,,,
fr1698605,,,,,3,,,,,
fr1698606,21,B01,,2,1,24,14,52,4,3
fr1698607,22,007,,2,1,55,96,44,4,3
fr1698608,69,002,,2,1,24,16,52,2,2
fr1698609,27,B01,,2,1,43,99,28,8,3
fr1698610,,,,,3,,,,,
fr1698611,31,001,,2,1,72,14,51,8,2
fr1698612,24,001,,2,1,11,74,47,5,4
fr1698613,24,001,,2,1,999,99,99,7,2
fr1698614,62,996,,2,1,73,15,20,3,2
fr1698615,,,,,3,,,,,
fr1698616,24,003,,1,1,11,74,60,5,1
fr1698617,,,,,3,,,,,
fr1698618,24,028,,1,1,12,58,46,3,2
fr1698619,62,996,,1,1,73,11,60,9,1
fr1698620,24,001,,2,1,11,74,44,4,2
fr1698621,87,,,,1,85,56,12,,5
fr1698622,,,,,3,,,,,
fr1698623,83,001,,1,1,56,43,52,2,4
fr1698624,64,010,,2,1,71,33,45,2,4
fr1698625,,,,,3,,,,,
fr1698626,81,,,,1,82,47,51,,3
fr1698627,86,,,,1,81,99,99,,7
fr1698628,75,,,,1,92,46,45,,3
fr1698629,27,B01,,1,1,43,97,28,7,1
fr1698630,23,001,,1,1,55,54,44,7,1
fr1698631,11,018,,2,1,999,46,45,2,1
fr1698632,99,,,,1,85,99,12,,7
fr1698633,55,001,,1,1,21,43,52,2,2
fr1698634,,,,,3,,,,,
fr1698635,70,999,,10,1,29,32,52,10,4
fr1698636,83,,,,1,81,47,52,,3
fr1698637,50,B01,,7,1,24,99,52,8,3
fr1698638,,,,,3,,,,,
fr1698639,50,B01,,2,1,999,46,1,8,2
fr1698640,,,,,3,,,,,
fr1698641,12,003,,2,1,75,71,1,4,1
fr1698642,81,,,,1,24,47,1,,7
fr1698643,13,011,,1,1,71,46,3,2,2
fr1698644,25,001,,2,1,77,46,1,4,3
fr1698645,,,,,3,,,,,
fr1698646,,,,,3,,,,,
fr1698647,47,,,,1,84,56,98,,4
fr1698648,81,,,,1,999,99,99,,7
fr1698649,,,,,3,,,,,
fr1698650,11,001,,3,1,71,46,45,8,5
fr1698651,31,001,,1,1,83,43,52,3,1
fr1698652,21,001,,2,1,73,14,47,7,2
fr1698653,99,,,,1,999,47,1,,7
fr1698654,81,,,,1,81,47,52,,4
fr1698655,41,003,,1,1,52,33,46,3,1
fr1698656,97,001,,1,1,24,43,52,2,4
fr1698657,24,001,,1,1,11,74,99,4,1
fr1698658,73,B01,,1,1,999,48,1,3,3
fr1698659,71,001,,1,1,999,59,1,9,4
fr1698660,24,001,,5,1,11,74,44,6,3
fr1698661,86,999,,1,1,71,47,45,99,7
fr1698662,81,999,,9,1,999,47,98,9,8
fr1698663,22,003,,2,1,51,13,47,5,1
fr1698664,24,001,,2,1,11,74,47,7,3
fr1698665,99,999,,1,1,999,99,99,2,3
fr1698666,81,,,,1,81,47,52,,4
fr1698667,22,022,,2,1,79,58,46,4,1
fr1698668,24,001,,3,1,11,23,44,4,2
fr1698669,22,002,,2,1,56,14,60,2,2
fr1698670,42,001,1,11,1,999,99,99,7,5
fr1698671,22,003,,1,1,79,46,45,4,1
fr1698672,29,B02,,2,1,31,48,52,4,1
fr1698673,24,003,,2,1,11,23,47,4,3
fr1698674,24,001,,1,1,11,74,28,2,2
fr1698675,,,,,3,,,,,
fr1698676,,,,,3,,,,,
fr1698677,,,,,3,,,,,
fr1698678,,,,,3,,,,,
fr1698679,21,B01,,1,1,26,43,52,7,1
fr1698680,99,,,,1,999,99,99,,7
fr1698681,81,999,,1,1,999,47,1,99,7
fr1698682,99,B01,,8,1,999,99,99,8,5
fr1698683,61,002,,7,1,73,19,47,8,3
fr1698684,,,,,3,,,,,
fr1698685,,,,,3,,,,,
fr1698686,,,,,3,,,,,
fr1698687,87,999,,1,1,71,56,45,2,2
fr1698688,87,,,,1,81,99,52,,3
fr1698689,24,003,,2,1,11,23,44,3,1
fr1698690,,,,,3,,,,,
fr1698691,85,,,,1,999,99,1,,7
fr1698692,27,B01,,2,1,43,31,60,4,1
fr1698693,27,001,,1,1,999,14,1,2,1
fr1698694,24,001,,2,1,12,74,60,7,1
fr1698695,,,,,3,,,,,
fr1698696,24,B02,,1,1,12,74,60,3,1
fr1698697,93,001,,1,1,98,73,60,2,1
fr1698698,,,,,3,,,,,
fr1698699,75,,,,1,104,46,99,,9
fr1698700,22,010,,2,1,71,34,46,2,1
fr1698701,,,,,3,,,,,
fr1698702,,,,,3,,,,,
fr1698703,,,,,3,,,,,
fr1698704,31,001,,1,1,12,16,60,2,3
fr1698705,41,021,,2,1,59,39,46,3,3
fr1698706,,,,,3,,,,,
fr1698707,,,,,3,,,,,
fr1698708,99,,,,1,999,99,99,,7
fr1698709,52,B01,,1,1,31,16,52,8,1
fr1698710,79,,,,1,76,39,3,,1
fr1698711,28,,,,1,76,71,1,,4
fr1698712,,,,,3,,,,,
fr1698713,24,034,,2,1,19,23,44,2,1
fr1698714,,,,,3,,,,,
fr1698715,,,,,3,,,,,
fr1698716,79,,,,1,30,55,52,,4
fr1698717,24,010,,1,1,12,48,60,3,2
fr1698718,,,,,3,,,,,
fr1698719,81,,,,1,81,48,51,,3
fr1698720,,,,,3,,,,,
fr1698721,,,,,3,,,,,
fr1698722,27,001,,1,1,43,39,28,3,3
fr1698723,,,,,3,,,,,
fr1698724,58,003,,2,1,17,55,20,7,3
fr1698725,83,998,,7,1,23,43,52,7,2
fr1698726,,,,,3,,,,,
fr1698727,81,,,,1,999,99,98,,4
fr1698728,44,001,,1,1,98,46,45,7,2
fr1698729,,,,,3,,,,,
fr1698730,89,,,,1,98,47,99,,4
fr1698731,99,,,,1,999,47,3,,7
fr1698732,87,,,,1,23,43,52,,3
fr1698733,24,001,,1,1,12,99,44,4,1
fr1698734,,,,,3,,,,,
fr1698735,24,003,,2,1,19,97,52,3,2
fr1698736,24,002,,2,1,11,74,44,4,2
fr1698737,64,002,,2,1,71,99,45,7,4
fr1698738,22,002,,4,1,999,31,99,6,5
fr1698739,30,001,,2,1,29,39,52,6,3
fr1698740,73,001,,1,1,999,47,1,99,7
fr1698741,86,,,,1,81,47,52,,4
fr1698742,,,,,3,,,,,
fr1698743,21,002,,3,1,999,21,98,5,2
fr1698744,22,013,,3,1,51,31,46,5,2
fr1698745,81,,,,1,999,99,98,,5
fr1698746,,,,,3,,,,,
fr1698747,81,,,,1,999,99,99,,7
fr1698748,,,,,3,,,,,
fr1698749,,,,,3,,,,,
fr1698750,,,,,3,,,,,
fr1698751,81,,,,1,81,43,52,,4
fr1698752,,,,,3,,,,,
fr1698753,990,001,,3,1,9990,14,1,3,7
fr1698754,44,,,,1,77,96,1,,7
fr1698755,24,003,,2,1,11,74,60,4,1
fr1698756,97,999,,4,1,999,79,99,4,5
fr1698757,,,,,3,,,,,
fr1698758,,,,,3,,,,,
fr1698759,,,,,3,,,,,
fr1698760,64,007,,2,1,79,48,45,10,4
fr1698761,62,996,,1,1,73,16,50,2,1
