id,sp_operation,sp_presence
sp1694577,,
sp1694578,,
sp1694579,8,3
sp1694580,,
sp1694581,8,3
sp1694582,,
sp1694583,,
sp1694584,2,9
sp1694585,8,3
sp1694586,,
sp1694587,8,3
sp1694588,,
sp1694589,9,9
sp1694590,,
sp1694591,3,1
sp1694592,8,3
sp1694593,,
sp1694594,,
sp1694595,,
sp1694596,8,3
sp1694597,,
sp1694598,8,3
sp1694599,8,3
sp1694600,,
sp1694601,9,9
sp1694602,,
sp1694603,,
sp1694604,,
sp1694605,,
sp1694606,,
sp1694607,,
sp1694608,,
sp1694609,,
sp1694610,8,3
sp1694611,8,3
sp1694612,8,3
sp1694613,,
sp1694614,,
sp1694615,,
sp1694616,8,3
sp1694617,,
sp1694618,,
sp1694619,,
sp1694620,,
sp1694621,,
sp1694622,,
sp1694623,,
sp1694624,,
sp1694625,8,3
sp1694626,8,3
sp1694627,,
sp1694628,8,3
sp1694629,8,3
sp1694630,8,3
sp1694631,,
sp1694632,,
sp1694633,,
sp1694634,,
sp1694635,,
sp1694636,,
sp1694637,,
sp1694638,3,1
sp1694639,,
sp1694640,8,3
sp1694641,8,9
sp1694642,,
sp1694643,,
sp1694644,8,3
sp1694645,8,3
sp1694646,8,3
sp1694647,,
sp1694648,1,1
sp1694649,2,2
sp1694650,8,3
sp1694651,,
sp1694652,8,3
sp1694653,8,3
sp1694654,8,3
sp1694655,8,3
sp1694656,,
sp1694657,8,3
sp1694658,8,3
sp1694659,9,9
sp1694660,1,1
sp1694661,8,3
sp1694662,,
sp1694663,8,3
sp1694664,8,3
sp1694665,,
sp1694666,8,3
sp1694667,2,9
sp1694668,,
sp1694669,,
sp1694670,8,3
sp1694671,,
sp1694672,,
sp1694673,,
sp1694674,2,2
sp1694675,,
sp1694676,,
sp1694677,,
sp1694678,8,3
sp1694679,8,3
sp1694680,,
sp1694681,,
sp1694682,,
sp1694683,,
sp1694684,,
sp1694685,,
sp1694686,9,9
sp1694687,,
sp1694688,,
sp1694689,8,3
sp1694690,,
sp1694691,8,3
sp1694692,,
sp1694693,2,1
sp1694694,8,3
sp1694695,,
sp1694696,,
sp1694697,,
sp1694698,,
sp1694699,8,3
sp1694700,8,3
sp1694701,,
sp1694702,8,3
sp1694703,,
sp1694704,,
sp1694705,8,3
sp1694706,,
sp1694707,,
sp1694708,,
sp1694709,,
sp1694710,8,3
sp1694711,8,3
sp1694712,8,3
sp1694713,2,2
sp1694714,1,1
sp1694715,,
sp1694716,1,1
sp1694717,2,9
sp1694718,2,1
sp1694719,3,3
sp1694720,,
sp1694721,2,1
sp1694722,8,3
sp1694723,,
sp1694724,,
sp1694725,,
sp1694726,2,1
sp1694727,,
sp1694728,,
sp1694729,9,9
sp1694730,8,3
sp1694731,,
sp1694732,,
sp1694733,,
sp1694734,,
sp1694735,,
sp1694736,8,3
sp1694737,,
sp1694738,,
sp1694739,,
sp1694740,,
sp1694741,9,9
sp1694742,,
sp1694743,,
sp1694744,8,9
sp1694745,,
sp1694746,,
sp1694747,,
sp1694748,1,1
sp1694749,8,3
sp1694750,8,3
sp1694751,1,1
sp1694752,,
sp1694753,,
sp1694754,,
sp1694755,,
sp1694756,9,9
sp1694757,,
sp1694758,,
sp1694759,,
sp1694760,,
sp1694761,,
sp1694762,8,3
sp1694763,2,2
sp1694764,,
sp1694765,,
sp1694766,,
sp1694767,,
sp1694768,2,2
