id,sa_fire_origin,sa_alarm_failure,sa_alarm_type,sa_impact_evacuation
sa1694486,,,,
sa1694487,3,2,1,9
sa1694488,,,,
sa1694489,,,,
sa1694490,2,98,4,1
sa1694491,2,98,9,9
sa1694492,,,,
sa1694493,2,98,9,9
sa1694494,,,,
sa1694495,,,,
sa1694496,2,98,4,8
sa1694497,,,,
sa1694498,,,,
sa1694499,,,,
sa1694500,,,,
sa1694501,,,,
sa1694502,1,98,8,8
sa1694503,2,98,1,3
sa1694504,,,,
sa1694505,2,98,9,2
sa1694506,3,4,1,7
sa1694507,4,99,2,9
sa1694508,,,,
sa1694509,,,,
sa1694510,2,98,1,1
sa1694511,,,,
sa1694512,,,,
sa1694513,4,98,4,9
sa1694514,,,,
sa1694515,2,98,1,2
sa1694516,,,,
sa1694517,1,9,8,8
sa1694518,2,98,2,1
sa1694519,,,,
sa1694520,2,98,1,1
sa1694521,,,,
sa1694522,,,,
sa1694523,,,,
sa1694524,,,,
sa1694525,4,98,2,2
sa1694526,4,99,9,7
sa1694527,3,99,2,7
sa1694528,,,,
sa1694529,2,98,2,1
sa1694530,,,,
sa1694531,,,,
sa1694532,,,,
sa1694533,,,,
sa1694534,1,9,8,7
sa1694535,,,,
sa1694536,,,,
sa1694537,,,,
sa1694538,9,98,9,1
sa1694539,1,98,8,8
sa1694540,2,98,4,9
sa1694541,1,98,8,7
sa1694542,9,98,9,2
sa1694543,2,98,1,9
sa1694544,2,98,4,3
sa1694545,,,,
sa1694546,,,,
sa1694547,2,98,1,1
sa1694548,1,98,8,2
sa1694549,3,5,1,7
sa1694550,,,,
sa1694551,,,,
sa1694552,3,2,1,9
sa1694553,9,98,9,8
sa1694554,,,,
sa1694555,,,,
sa1694556,1,98,8,1
sa1694557,2,98,1,7
sa1694558,,,,
sa1694559,,,,
sa1694560,4,4,8,8
sa1694561,2,98,4,1
sa1694562,2,98,4,3
sa1694563,,,,
sa1694564,2,98,9,1
sa1694565,,,,
sa1694566,1,98,8,1
sa1694567,,,,
sa1694568,,,,
sa1694569,,,,
sa1694570,,,,
