id,impact_evacuation,fa_operation,fa_presence
fa1694526,2,1,1
fa1694527,7,9,1
fa1694528,,,
fa1694529,1,1,1
fa1694530,,,
fa1694531,,,
fa1694532,,,
fa1694533,,,
fa1694534,7,8,2
fa1694535,,,
fa1694536,,,
fa1694537,,,
fa1694538,7,9,9
fa1694539,8,8,8
fa1694540,9,9,1
fa1694541,7,8,2
fa1694542,1,1,1
fa1694543,7,2,1
fa1694544,1,1,1
fa1694545,,,
fa1694546,,,
fa1694547,8,8,2
fa1694548,2,1,1
fa1694549,8,8,8
fa1694550,,,
fa1694551,,,
fa1694552,7,8,9
fa1694553,9,9,9
fa1694554,,,
fa1694555,,,
fa1694556,7,2,1
fa1694557,7,1,1
fa1694558,,,
fa1694559,,,
fa1694560,9,8,9
fa1694561,1,1,1
fa1694562,3,1,1
fa1694563,,,
fa1694564,8,8,8
fa1694565,,,
fa1694566,1,1,1
fa1694567,,,
fa1694568,,,
fa1694569,,,
fa1694570,,,
fa1694571,,,
fa1694572,,,
fa1694573,9,9,9
fa1694574,8,8,8
fa1694575,,,
fa1694576,,,
fa1694577,,,
fa1694578,,,
fa1694579,9,9,9
fa1694580,,,
fa1694581,8,8,2
fa1694582,,,
fa1694583,,,
fa1694584,9,9,9
fa1694585,7,8,8
fa1694586,,,
fa1694587,8,8,2
fa1694588,,,
fa1694589,9,9,9
fa1694590,,,
fa1694591,7,2,1
fa1694592,9,9,9
fa1694593,,,
fa1694594,,,
fa1694595,,,
fa1694596,3,9,1
fa1694597,,,
fa1694598,9,8,8
fa1694599,8,8,8
fa1694600,,,
fa1694601,7,1,1
fa1694602,,,
fa1694603,,,
fa1694604,,,
fa1694605,,,
fa1694606,,,
fa1694607,,,
fa1694608,,,
fa1694609,,,
fa1694610,8,8,2
fa1694611,8,8,2
fa1694612,9,8,9
fa1694613,,,
fa1694614,,,
fa1694615,,,
fa1694616,8,8,2
fa1694617,,,
fa1694618,,,
fa1694619,,,
fa1694620,,,
fa1694621,,,
fa1694622,,,
fa1694623,,,
fa1694624,,,
fa1694625,8,8,2
fa1694626,7,2,1
fa1694627,,,
fa1694628,8,8,2
fa1694629,8,8,2
fa1694630,7,8,8
fa1694631,,,
fa1694632,,,
fa1694633,,,
fa1694634,,,
fa1694635,,,
fa1694636,,,
fa1694637,,,
fa1694638,3,1,1
fa1694639,,,
fa1694640,8,8,2
fa1694641,2,1,1
fa1694642,,,
fa1694643,,,
fa1694644,7,1,1
fa1694645,7,8,8
fa1694646,2,1,1
fa1694647,,,
fa1694648,1,1,1
fa1694649,9,1,1
fa1694650,7,2,9
fa1694651,,,
fa1694652,3,1,1
fa1694653,7,1,1
fa1694654,3,1,1
fa1694655,2,1,1
fa1694656,,,
fa1694657,1,1,1
fa1694658,9,1,1
fa1694659,8,9,9
fa1694660,2,1,1
fa1694661,7,8,2
fa1694662,,,
fa1694663,8,8,8
fa1694664,7,2,1
fa1694665,,,
fa1694666,8,8,2
fa1694667,7,2,1
fa1694668,,,
fa1694669,,,
fa1694670,8,8,8
fa1694671,,,
fa1694672,,,
fa1694673,,,
fa1694674,3,1,1
fa1694675,,,
fa1694676,,,
fa1694677,,,
fa1694678,7,2,9
fa1694679,8,8,2
fa1694680,,,
fa1694681,,,
fa1694682,,,
fa1694683,,,
fa1694684,,,
fa1694685,,,
fa1694686,7,2,1
fa1694687,,,
fa1694688,,,
fa1694689,2,1,1
fa1694690,,,
fa1694691,7,1,1
fa1694692,,,
fa1694693,2,1,1
fa1694694,1,1,1
fa1694695,,,
fa1694696,,,
fa1694697,,,
fa1694698,,,
fa1694699,8,8,8
fa1694700,8,8,2
fa1694701,,,
fa1694702,7,9,9
fa1694703,,,
fa1694704,,,
fa1694705,7,8,8
fa1694706,,,
fa1694707,,,
fa1694708,,,
fa1694709,,,
fa1694710,9,9,9
fa1694711,9,9,2
fa1694712,8,8,8
fa1694713,9,1,1
fa1694714,1,1,1
fa1694715,,,
fa1694716,3,1,1
fa1694717,7,2,1
fa1694718,1,1,1
fa1694719,7,8,8
fa1694720,,,
fa1694721,3,1,1
fa1694722,2,1,1
fa1694723,,,
fa1694724,,,
fa1694725,,,
fa1694726,7,2,1
fa1694727,,,
fa1694728,,,
fa1694729,7,9,9
fa1694730,8,8,9
fa1694731,,,
fa1694732,,,
fa1694733,,,
fa1694734,,,
fa1694735,,,
fa1694736,2,1,1
fa1694737,,,
fa1694738,,,
fa1694739,,,
